kima_id	kima_rom	variant	source	attestations	contexts	wikidata_qid	notes
32	New York (N.Y.)	ניו יאָרק	Zylbercweig lexicon (Maaty reconciliation)	4-facs_59_tr_1753681938|4-facs_85_tr_1753938252|4-facs_270_tr_1754998435|4-facs_322_tr_1754998441|1-facs_283_tr_1741260239|1-facs_407_tr_1739715069|1-facs_150_tr_1740521115|3-facs_308_tr_1755973377|4-facs_11_r|4-facs_27_r_14|4-facs_28_r|4-facs_41_r_2|4-facs_60_r_1|4-facs_85_tr_1753938252|4-facs_86_tr_1753938260|4-facs_87_tr_1753938277|4-facs_92_r_1|4-facs_95_tr_1753602022|4-facs_100_r|4-facs_114_tr_1753936423|4-facs_115_tr_1753936446|4-facs_143_tr_1754377592|4-facs_201_tr_1754998574|4-facs_202_tr_1754998544|4-facs_204_tr_1754998531|4-facs_251_tr_1754998368|4-facs_252_tr_1754998536|4-facs_269_tr_1754998524|4-facs_270_tr_1754998438|4-facs_270_tr_1754998433|4-facs_274_tr_1754998431|4-facs_276_tr_1754998432|4-facs_278_tr_1754998432|4-facs_279_tr_1754998502|4-facs_279_tr_1754998499|4-facs_320_r_8|4-facs_321_tr_1754998460|4-facs_322_tr_1754998436|4-facs_328_tr_1754998393|4-facs_342_tr_1754998516|4-facs_351_tr_1754998561|4-facs_355_tr_1754998462|4-facs_360_tr_1754998576|4-facs_372_tr_1755029967|4-facs_381_tr_1755030081|4-facs_388_tr_1755030259|4-facs_394_tr_1755030217|4-facs_439_tr_1755030088|4-facs_452_tr_1755030299|4-facs_591_tr_1755030163|4-facs_627_tr_1755030085|4-facs_653_tr_1755030263|4-facs_658_tr_1755030000|4-facs_666_tr_1755030169|1-facs_206_tr_1741260252|1-facs_207_tr_1741260323|1-facs_208_tr_1741260252|1-facs_209_tr_1741260252|1-facs_210_tr_1741260180|1-facs_212_tr_1741260189|1-facs_248_tr_1741260287|1-facs_255_tr_1741260319|1-facs_257_tr_1741260312|1-facs_280_r_2|1-facs_282_tr_1741260213|1-facs_304_tr_1741260480|1-facs_331_tr_1741260474|1-facs_333_tr_1741260492|1-facs_341_r_7|1-facs_376_tr_1741260453|1-facs_402_tr_1739715076|1-facs_404_r_8|1-facs_18_r|1-facs_19_r_6|1-facs_21_tr_1740515222|1-facs_36_tr_1740520946|1-facs_40_tr_1740521035|1-facs_49_tr_1740521083|1-facs_76_tr_1740520936|1-facs_78_tr_1740521032|1-facs_79_tr_1740520939|1-facs_120_tr_1740521118|1-facs_150_r|1-facs_201_tr_1741260321|1-facs_202_tr_1741260239|2-facs_9_tr_1743943368|2-facs_31_tr_1744131345|2-facs_74_tr_1744131378|2-facs_230_tr_1744280762|2-facs_243_tr_1744280772|2-facs_255_tr_1744280686|2-facs_267_tr_1744280748|2-facs_270_tr_1744280698|2-facs_271_tr_1744280771|2-facs_329_tr_1744365801|2-facs_352_r_2|2-facs_353_tr_1744365776|2-facs_365_tr_1744366824|2-facs_399_tr_1744366849|3-facs_35_tr_1752653010|3-facs_91_tr_1753268279|3-facs_158_tr_1755156151|3-facs_269_tr_1755674195|3-facs_276_tr_1755674176|3-facs_280_tr_1755674193|3-facs_284_tr_1755674201|3-facs_289_tr_1755803001|3-facs_289_tr_1755803006|3-facs_321_tr_1756057140|3-facs_324_tr_1756057476|3-facs_333_tr_1756059823|3-facs_349_tr_1756107917|3-facs_402_tr_1755856047|5-facs_598_tr_1739222546|6-facs_22_tr_1747746208|6-facs_31_r_1|6-facs_52_tr_1747746168|6-facs_59_tr_1747746198|6-facs_62_tr_1747746110|6-facs_66_tr_1747746213|6-facs_77_tr_1747746215|6-facs_180_tr_1747825079|6-facs_266_tr_1747929004|6-facs_408_tr_1747930566|7-facs_36_r_2|7-facs_53_r_4|7-facs_71_r|7-facs_72_r_5|1-facs_205_tr_1741260267|1-facs_261_tr_1741260195|1-facs_267_tr_1741260282|1-facs_278_tr_1741260264|1-facs_289_tr_1739714921|1-facs_320_tr_1741260428|1-facs_342_tr_1741260510|1-facs_365_tr_1741260398|1-facs_34_tr_1740521031|1-facs_78_tr_1740521046|1-facs_102_tr_1740521064|1-facs_110_tr_1740520985|1-facs_149_tr_1740521049|2-facs_9_tr_1743943374|2-facs_31_tr_1744131359|2-facs_242_tr_1744280794|2-facs_305_tr_1744365745|3-facs_276_tr_1755674176|3-facs_277_tr_1755674189|3-facs_316_tr_1756045031|3-facs_316_tr_1756045027|3-facs_340_tr_1756106824|6-facs_245_tr_1747928885|6-facs_465_tr_1747930358	burial|death|birth	Q60	match_status:WIKIDATA
154	Los Angeles (Calif.)	לאָס אַנדזשעלעס	Zylbercweig lexicon (Maaty reconciliation)	4-facs_79_tr_1753938275|4-facs_96_tr_1753602020|4-facs_668_tr_1755029974|6-facs_108_r_4|4-facs_34_r_1|4-facs_79_tr_1753938275|4-facs_96_tr_1753602020|4-facs_99_r_2|4-facs_130_r_2|4-facs_207_tr_1754998369|4-facs_375_tr_1755029880|4-facs_658_tr_1755030003|4-facs_670_tr_1755030252|3-facs_263_tr_1755674223|3-facs_320_tr_1756045941|3-facs_325_tr_1756057604|5-facs_597_tr_1739222301|5-facs_600_r_77|5-facs_609_r_249|6-facs_70_tr_1747746125|6-facs_99_tr_1747746187|6-facs_140_tr_1747825131|6-facs_140_tr_1747825133|6-facs_150_tr_1747825137|6-facs_170_tr_1747825074|6-facs_649_tr_1747930511|6-facs_666_r|7-facs_64_r_4	burial|death	Q65	match_status:WIKIDATA
753	Toronto (Ont.)	טאַראַנטאָ	Zylbercweig lexicon (Maaty reconciliation)	4-facs_95_tr_1753602024|4-facs_95_tr_1753602024|7-facs_53_r_4	burial|death|birth	Q172	match_status:WIKIDATA
419	Paris (France)	פּאַריז	Zylbercweig lexicon (Maaty reconciliation)	4-facs_141_tr_1754377601|4-facs_141_tr_1754377601|1-facs_332_tr_1741260395|1-facs_411_tr_1739715062|2-facs_77_tr_1744131362	burial|death	Q90	match_status:WIKIDATA
408	Philadelphia (Pa.)	פֿילאַדעלפיע	Zylbercweig lexicon (Maaty reconciliation)	4-facs_264_tr_1754998383|4-facs_137_tr_1754224982|4-facs_264_tr_1754998383|3-facs_272_tr_1755674151|3-facs_282_tr_1755674183|6-facs_102_tr_1747825160|4-facs_201_tr_1754998569|3-facs_345_r	burial|death|birth	Q1345	match_status:WIKIDATA
32	New York (N.Y.)	ניו-יאָרק	Zylbercweig lexicon (Maaty reconciliation)	4-facs_672_r_1|1-facs_78_tr_1740521048|2-facs_32_tr_1744131393|2-facs_129_tr_1744279170|6-facs_187_tr_1747825092|4-facs_103_tr_1753681918|4-facs_200_tr_1754841831|4-facs_249_tr_1754998575|4-facs_260_tr_1754998378|4-facs_261_tr_1754998424|4-facs_590_tr_1755030075|4-facs_591_tr_1755030161|4-facs_599_tr_1755030067|4-facs_601_tr_1755030110|4-facs_641_tr_1755030027|4-facs_661_tr_1755030263|4-facs_666_tr_1755030166|4-facs_672_r_1|1-facs_312_TextRegion_1708860417410_829|1-facs_319_r_1|1-facs_17_r_9|1-facs_23_r|1-facs_78_tr_1740521048|1-facs_90_tr_1740521094|1-facs_180_region_1715801037095_458|2-facs_34_tr_1744131414|2-facs_36_tr_1744131432|2-facs_37_tr_1744131389|2-facs_54_r_13|2-facs_90_tr_1744131418|2-facs_108_tr_1744279182|2-facs_112_tr_1744279073|2-facs_115_tr_1744279181|2-facs_129_tr_1744279170|2-facs_162_tr_1744279209|2-facs_187_tr_1744279120|2-facs_198_r_4|2-facs_212_r|2-facs_219_tr_1744280715|2-facs_232_tr_1744280746|2-facs_331_tr_1744365763|3-facs_12_tr_1752652594|3-facs_17_tr_1752653009|3-facs_29_tr_1752653006|3-facs_124_tr_1754820292|6-facs_18_tr_1747746206|6-facs_41_tr_1747746160|6-facs_50_tr_1747746182|6-facs_58_tr_1747746187|6-facs_58_r|6-facs_63_r_13|6-facs_69_tr_1747746123|6-facs_103_tr_1747825052|6-facs_104_tr_1747825074|6-facs_108_r_4|6-facs_125_tr_1747825049|6-facs_125_tr_1747825044|6-facs_149_tr_1747825121|6-facs_149_tr_1747825109|6-facs_156_tr_1747825094|6-facs_158_tr_1747825103|6-facs_165_tr_1747825091|6-facs_172_tr_1747825165|6-facs_176_tr_1747825145|6-facs_177_tr_1747825182|6-facs_185_tr_1747825159|6-facs_186_tr_1747825065|6-facs_196_tr_1747825036|6-facs_203_tr_1747929008|6-facs_237_tr_1747928923|6-facs_248_tr_1747928920|6-facs_255_tr_1747928944|6-facs_264_tr_1747928896|6-facs_265_tr_1747928990|6-facs_404_tr_1747930204|6-facs_417_tr_1747930464|6-facs_423_tr_1747930553|6-facs_454_tr_1747930319|6-facs_475_r|6-facs_538_r_3|6-facs_642_tr_1747930347|6-facs_644_tr_1747930335|6-facs_654_r_1|7-facs_72_tr_1757228897|7-facs_78_r_1|4-facs_200_tr_1754841831|4-facs_656_tr_1755029862|4-facs_669_tr_1755030278|4-facs_669_tr_1755030280|1-facs_400_TextRegion_1710065342920_478|1-facs_31_TextRegion_1710063786700_90|1-facs_38_tr_1740521009|1-facs_62_tr_1740520963|2-facs_32_tr_1744131395|2-facs_62_tr_1744131376|2-facs_213_r_27|2-facs_352_tr_1744365752|2-facs_407_r_2|6-facs_72_r_192|6-facs_475_r|6-facs_609_tr_1747930163|7-facs_74_r_3	burial|death|birth	Q60	match_status:WIKIDATA
953	Warsaw (Poland)	וואַרשע	Zylbercweig lexicon (Maaty reconciliation)	1-facs_298_tr_1741260461|1-facs_52_tr_1740521031|1-facs_119_tr_1740521143|2-facs_311_tr_1744365774|4-facs_354_tr_1754998468|1-facs_298_tr_1741260461|1-facs_311_tr_1741260486|1-facs_362_r_17|1-facs_52_tr_1740521031|1-facs_86_tr_1740521078|1-facs_119_tr_1740521143|2-facs_183_tr_1744279136|2-facs_186_tr_1744279126|2-facs_254_tr_1744280771|2-facs_262_tr_1744280732|2-facs_268_tr_1744280822|2-facs_319_r_1|2-facs_358_tr_1744365784|2-facs_404_tr_1744366806|3-facs_160_tr_1755156219|3-facs_275_tr_1755674163|3-facs_279_tr_1755674208|3-facs_283_tr_1755674200|3-facs_286_tr_1755674601|5-facs_43_tr_1733050580|5-facs_95_tr_1733059363|5-facs_179_tr_1736589033|5-facs_188_tr_1736589057|5-facs_204_tr_1739220839|5-facs_250_tr_1739221688|5-facs_272_tr_1739221128|5-facs_319_tr_1739221737|5-facs_326_tr_1739221462|5-facs_349_r|5-facs_401_tr_1739221667|5-facs_421_r_8|5-facs_423_tr_1739222033|5-facs_452_tr_1739221802|5-facs_529_tr_1739221773|5-facs_615_r_11|6-facs_11_tr_1747745181|6-facs_45_r_10|6-facs_49_tr_1747746207|6-facs_53_tr_1747746142|6-facs_56_tr_1747746145|6-facs_97_tr_1747746189|6-facs_101_tr_1747825157|6-facs_104_tr_1747825067|6-facs_141_tr_1747825143|6-facs_142_tr_1747825183|6-facs_224_tr_1747929007|6-facs_241_tr_1747928957|6-facs_251_tr_1747928968|6-facs_253_tr_1747928926|6-facs_327_tr_1747930566|6-facs_463_tr_1747930274|7-facs_39_r|7-facs_42_tr_1756359776|4-facs_28_r|4-facs_87_tr_1753938277|4-facs_141_tr_1754377601|4-facs_274_tr_1754998431|4-facs_330_tr_1754998396|4-facs_333_tr_1754998454|4-facs_351_tr_1754998561|4-facs_356_tr_1754998405|4-facs_358_tr_1754998513|4-facs_388_tr_1755030259|4-facs_400_tr_1755030252|4-facs_601_tr_1755030110|4-facs_632_tr_1755030238|4-facs_653_tr_1755030263|4-facs_658_tr_1755030000|4-facs_664_tr_1755030049|4-facs_671_tr_1755030275|1-facs_207_tr_1741260323|1-facs_250_tr_1741260267|1-facs_254_tr_1741260240|1-facs_260_tr_1741260301|1-facs_264_tr_1741260335|1-facs_267_tr_1741260286|1-facs_267_tr_1741260290|1-facs_280_TextRegion_1711971443107_368|1-facs_285_r_2|1-facs_303_tr_1741260404|1-facs_307_tr_1741260387|1-facs_311_tr_1741260486|1-facs_321_tr_1741260499|1-facs_331_tr_1741260474|1-facs_331_tr_1741260489|1-facs_333_tr_1741260495|1-facs_351_tr_1741260421|1-facs_356_tr_1741260406|1-facs_358_tr_1741260404|1-facs_360_TextRegion_1710852670035_228|1-facs_365_tr_1741260397|1-facs_368_TextRegion_1710163052802_374|1-facs_376_tr_1741260449|1-facs_389_tr_1739715087|1-facs_404_tr_1739715084|1-facs_410_tr_1739715091|1-facs_410_tr_1739715086|1-facs_410_tr_1739715084|1-facs_411_r|1-facs_413_tr_1739715088|1-facs_414_tr_1739715068|1-facs_42_tr_1740520978|1-facs_48_tr_1740521125|1-facs_58_tr_1740521139|1-facs_59_tr_1740521094|1-facs_65_tr_1740520951|1-facs_65_tr_1740520947|1-facs_67_tr_1740521120|1-facs_90_tr_1740521107|1-facs_91_tr_1740521127|1-facs_95_tr_1740521138|1-facs_113_tr_1740521032|1-facs_115_tr_1740520964|1-facs_118_tr_1740521141|1-facs_119_tr_1740521143|1-facs_120_tr_1740521118|1-facs_135_tr_1740521026|1-facs_138_tr_1740521018|1-facs_141_tr_1740521090|1-facs_146_tr_1740520953|1-facs_146_r_17|1-facs_147_tr_1740521034|1-facs_147_tr_1740521027|1-facs_148_tr_1740521149|1-facs_204_tr_1741260321|2-facs_9_r_3|2-facs_34_tr_1744131414|2-facs_36_tr_1744131432|2-facs_36_tr_1744131442|2-facs_36_r_4|2-facs_40_tr_1744131398|2-facs_42_tr_1744131426|2-facs_45_r_9|2-facs_45_tr_1744131387|2-facs_45_tr_1744131386|2-facs_46_tr_1744131398|2-facs_46_tr_1744131404|2-facs_54_r_9|2-facs_55_tr_1744131451|2-facs_56_tr_1744131366|2-facs_57_tr_1744131463|2-facs_58_tr_1744131437|2-facs_58_tr_1744131436|2-facs_62_tr_1744131370|2-facs_63_tr_1744131370|2-facs_72_tr_1744131376|2-facs_73_tr_1744131433|2-facs_75_tr_1744131432|2-facs_79_r_5|2-facs_81_tr_1744131370|2-facs_83_r_1|2-facs_104_r_4|2-facs_109_tr_1744279133|2-facs_110_tr_1744279156|2-facs_111_tr_1744279146|2-facs_111_tr_1744279150|2-facs_113_r_30|2-facs_118_r_1|2-facs_128_tr_1744279149|2-facs_146_tr_1744279102|2-facs_152_tr_1744279187|2-facs_153_tr_1744279072|2-facs_160_r_6|2-facs_178_tr_1744279111|2-facs_186_tr_1744279126|2-facs_186_tr_1744279145|2-facs_218_tr_1744280787|2-facs_218_tr_1744280785|2-facs_220_tr_1744280762|2-facs_228_r_9|2-facs_237_tr_1744280744|2-facs_240_r_2|2-facs_266_tr_1744280767|2-facs_292_tr_1744280742|2-facs_293_tr_1744280708|2-facs_305_tr_1744365748|2-facs_313_tr_1744365813|2-facs_314_tr_1744365768|2-facs_327_tr_1744365756|2-facs_330_tr_1744365791|2-facs_336_tr_1744365769|2-facs_339_tr_1744365749|2-facs_350_tr_1744365746|2-facs_358_tr_1744365785|2-facs_365_tr_1744366830|2-facs_378_tr_1744366816|2-facs_384_tr_1744366808|2-facs_385_tr_1744366798|2-facs_391_tr_1744366856|2-facs_404_tr_1744366806|3-facs_15_tr_1752653013|3-facs_29_tr_1752653013|3-facs_115_tr_1753726022|3-facs_126_tr_1754820323|3-facs_129_r|3-facs_129_tr_1754820306|3-facs_135_tr_1754820287|3-facs_136_tr_1754820292|3-facs_153_tr_1754213807|3-facs_155_tr_1754213825|3-facs_275_tr_1755674163|3-facs_275_tr_1755674168|3-facs_283_tr_1755674200|3-facs_311_tr_1755975322|3-facs_315_tr_1756044900|3-facs_317_tr_1756045226|3-facs_318_tr_1756045381|3-facs_329_tr_1756058152|3-facs_332_tr_1756058897|3-facs_333_tr_1756059823|3-facs_349_tr_1756107917|3-facs_373_tr_1755856146|3-facs_374_r_1|3-facs_398_r_2|3-facs_401_tr_1755856147|5-facs_33_r|5-facs_59_tr_1733050535|5-facs_66_tr_1733059440|5-facs_69_tr_1733059503|5-facs_77_tr_1733059394|5-facs_77_tr_1733059398|5-facs_78_tr_1733059340|5-facs_100_r|5-facs_106_tr_1733832713|5-facs_116_tr_1733832781|5-facs_117_tr_1733832750|5-facs_123_tr_1733832749|5-facs_124_tr_1733832663|5-facs_145_tr_1733832655|5-facs_147_tr_1733832799|5-facs_158_tr_1735652602|5-facs_161_tr_1735652635|5-facs_163_tr_1735652631|5-facs_164_tr_1735652626|5-facs_177_tr_1736589074|5-facs_178_tr_1736588955|5-facs_180_tr_1736588913|5-facs_199_tr_1736588971|5-facs_213_tr_1739221750|5-facs_229_tr_1739222567|5-facs_229_tr_1739222571|5-facs_230_tr_1739221425|5-facs_237_tr_1739220686|5-facs_237_tr_1739220691|5-facs_238_tr_1739221128|5-facs_238_tr_1739221129|5-facs_240_tr_1739222483|5-facs_243_tr_1739220911|5-facs_255_tr_1739220788|5-facs_258_r|5-facs_273_tr_1739222329|5-facs_273_tr_1739222330|5-facs_296_tr_1739220884|5-facs_300_tr_1739221668|5-facs_306_tr_1739221515|5-facs_319_tr_1739221737|5-facs_347_tr_1739221408|5-facs_348_tr_1739220913|5-facs_349_tr_1739221468|5-facs_349_r|5-facs_360_tr_1739221936|5-facs_373_r|5-facs_432_r|5-facs_435_tr_1739222512|5-facs_436_tr_1739220741|5-facs_442_tr_1739222523|5-facs_443_tr_1739220791|5-facs_485_r|5-facs_508_tr_1739222135|5-facs_534_tr_1739222534|5-facs_558_tr_1739222068|5-facs_564_tr_1739222472|5-facs_586_tr_1739221917|5-facs_586_tr_1739221921|5-facs_590_tr_1739222452|5-facs_598_tr_1739222546|5-facs_607_tr_1739222282|6-facs_31_r_1|6-facs_49_tr_1747746207|6-facs_53_tr_1747746142|6-facs_65_tr_1747746187|6-facs_101_tr_1747825157|6-facs_102_tr_1747825160|6-facs_104_tr_1747825076|6-facs_110_tr_1747825093|6-facs_124_tr_1747825116|6-facs_141_tr_1747825143|6-facs_142_tr_1747825183|6-facs_152_tr_1747825185|6-facs_163_tr_1747825045|6-facs_171_tr_1747825166|6-facs_174_tr_1747825082|6-facs_241_tr_1747928957|6-facs_265_r|6-facs_419_tr_1747930126|6-facs_463_tr_1747930274|6-facs_607_tr_1747930558|7-facs_10_tr_1756280321|7-facs_31_tr_1756359774|7-facs_39_r|7-facs_56_r|7-facs_74_tr_1757228890|7-facs_82_tr_1757228891|7-facs_85_tr_1757228900	burial|death|birth	Q270	match_status:WIKIDATA
282	Chicago (Ill.)	שיקאָגאָ	Zylbercweig lexicon (Maaty reconciliation)	1-facs_361_r_9|1-facs_247_tr_1713385122|1-facs_353_tr_1741260469|1-facs_291_tr_1741260462|1-facs_292_tr_1741260514|1-facs_294_tr_1741260432	burial|death|birth	Q1297	match_status:WIKIDATA
533	Istanbul (Turkey)	קאָנסטאַנטינאָפּאָל	Zylbercweig lexicon (Maaty reconciliation)	1-facs_395_r_6|1-facs_395_r_6|4-facs_207_tr_1754998369	burial|death|birth	Q406	match_status:WIKIDATA
179	Łódź (Poland)	לאָדזש	Zylbercweig lexicon (Maaty reconciliation)	1-facs_43_tr_1740520992|5-facs_19_tr_1729944965|4-facs_70_r|1-facs_390_tr_1739715054|1-facs_395_r_10|1-facs_43_tr_1740520992|2-facs_83_tr_1744131381|2-facs_114_tr_1744279198|2-facs_321_tr_1744365709|5-facs_19_tr_1729944965|5-facs_198_tr_1736588963|5-facs_372_tr_1739222357|4-facs_41_r_2|4-facs_141_tr_1754377600|4-facs_248_tr_1754998565|4-facs_659_tr_1755030149|1-facs_251_tr_1741260233|1-facs_257_tr_1741260315|1-facs_269_tr_1741260225|1-facs_282_tr_1741260219|1-facs_285_TextRegion_1711970098202_35|1-facs_304_tr_1741260491|1-facs_307_tr_1741260374|1-facs_309_r_13|1-facs_321_tr_1741260500|1-facs_345_r_10|1-facs_346_TextRegion_1710166806332_464|1-facs_347_TextRegion_1710167012304_556|1-facs_390_tr_1739715034|1-facs_395_r_10|1-facs_405_TextRegion_1710157124987_295|1-facs_409_TextRegion_1710065090972_381|1-facs_416_tr_1739715064|1-facs_31_TextRegion_1710063820301_118|1-facs_42_tr_1740520982|1-facs_51_tr_1740521069|1-facs_61_tr_1740521163|1-facs_64_tr_1740520942|1-facs_64_tr_1740520956|1-facs_64_tr_1740520959|1-facs_77_tr_1740520974|1-facs_91_tr_1740521128|1-facs_93_tr_1740521094|1-facs_95_tr_1740521146|1-facs_100_tr_1740521004|1-facs_107_tr_1740521172|1-facs_139_r_2|2-facs_37_tr_1744131389|2-facs_49_tr_1744131389|2-facs_72_tr_1744131378|2-facs_83_tr_1744131381|2-facs_89_r_6|2-facs_114_tr_1744279198|2-facs_115_tr_1744279180|2-facs_185_tr_1744279134|2-facs_189_tr_1744279163|2-facs_216_tr_1744280686|2-facs_266_r_2|2-facs_330_tr_1744365810|3-facs_32_r_8|3-facs_89_tr_1753268336|3-facs_126_tr_1754820315|3-facs_126_tr_1754820316|3-facs_274_tr_1755674144|3-facs_277_tr_1755674194|3-facs_313_tr_1756043360|3-facs_334_tr_1756105641|3-facs_338_tr_1756106571|3-facs_338_tr_1756106568|3-facs_345_tr_1756107437|3-facs_398_tr_1755856092|3-facs_400_tr_1755856076|3-facs_400_tr_1755856074|5-facs_28_tr_1729945273|5-facs_41_tr_1733050381|5-facs_64_tr_1733059339|5-facs_70_tr_1733059368|5-facs_73_tr_1733059356|5-facs_80_tr_1733059422|5-facs_88_tr_1733059455|5-facs_97_tr_1733059490|5-facs_111_tr_1733832758|5-facs_126_tr_1733832830|5-facs_143_tr_1733832807|5-facs_172_tr_1736589034|5-facs_175_tr_1736588934|5-facs_176_tr_1736589036|5-facs_185_tr_1736588943|5-facs_185_tr_1736588927|5-facs_199_tr_1736588975|5-facs_225_tr_1739222150|5-facs_273_tr_1739222328|5-facs_280_tr_1739220952|5-facs_305_tr_1739220515|5-facs_322_tr_1739221858|5-facs_331_tr_1739222358|5-facs_332_tr_1739221443|5-facs_333_tr_1739220904|5-facs_371_tr_1739222499|5-facs_445_tr_1739221346|5-facs_452_tr_1739221802|5-facs_508_tr_1739222134|5-facs_547_tr_1739222033|5-facs_560_tr_1739220846|5-facs_617_r_315|6-facs_44_tr_1747746152|6-facs_45_tr_1747746107|6-facs_63_tr_1747746207|6-facs_116_tr_1747825108|6-facs_142_tr_1747825180|6-facs_174_tr_1747825098|6-facs_183_tr_1747825124	burial|death|birth	Q580	match_status:WIKIDATA
510	Buenos Aires (Argentina)	בוענאָס איירעס	Zylbercweig lexicon (Maaty reconciliation)	1-facs_123_tr_1740520960|1-facs_123_tr_1740520960|2-facs_357_tr_1744365788|3-facs_129_tr_1754820306|7-facs_19_r_7|7-facs_21_tr_1756831761|7-facs_24_tr_1756894820|7-facs_25_r_3|7-facs_34_r|7-facs_43_tr_1756359812|7-facs_68_r_4	burial|death	Q1486	match_status:WIKIDATA
677	Brody (Ukraine)	בראָד	Zylbercweig lexicon (Maaty reconciliation)	1-facs_127_tr_1740521137|1-facs_127_tr_1740521137|1-facs_131_tr_1740521165|1-facs_127_tr_1740521137|1-facs_127_tr_1740521131	burial|death|birth	Q465104	match_status:WIKIDATA
656	Bucharest (Romania)	בוקאַרעסט	Zylbercweig lexicon (Maaty reconciliation)	1-facs_134_tr_1740520965|4-facs_277_tr_1754998404|1-facs_61_tr_1740521158|1-facs_131_tr_1740521175|1-facs_134_tr_1740520965|1-facs_134_tr_1740520951|2-facs_116_tr_1744279120|2-facs_127_tr_1744279075|2-facs_364_tr_1744366859|4-facs_86_tr_1753938260|4-facs_137_tr_1754224982|4-facs_270_tr_1754998435|4-facs_277_tr_1754998404|1-facs_252_tr_1741260223|1-facs_260_tr_1741260279|1-facs_266_tr_1741260241|1-facs_366_tr_1741260406|1-facs_381_r_9|1-facs_58_tr_1740521146|1-facs_60_tr_1740521080|1-facs_60_tr_1740521087|1-facs_151_r_6|2-facs_86_tr_1744131447|2-facs_137_tr_1744279152|2-facs_174_r_20|2-facs_197_tr_1744279124|2-facs_221_tr_1744280749|2-facs_230_tr_1744280765|2-facs_372_tr_1744366832|3-facs_34_r_3|6-facs_464_tr_1747930212|7-facs_10_r_5|7-facs_30_r_7	burial|death|birth	Q19660	match_status:WIKIDATA
8353	Arad (Romania)	אַראָד	Zylbercweig lexicon (Maaty reconciliation)	2-facs_112_tr_1744279063|2-facs_112_tr_1744279063	burial|death	Q173591	match_status:WIKIDATA
188	Moscow (Russia)	מאָסקווע	Zylbercweig lexicon (Maaty reconciliation)	2-facs_179_tr_1744279074|4-facs_668_tr_1755029974|1-facs_59_tr_1740521083|2-facs_179_tr_1744279074|5-facs_438_r_4|5-facs_484_r_5|6-facs_20_tr_1747746136|6-facs_260_tr_1747928893|7-facs_46_r_2|4-facs_564_tr_1755029956|1-facs_249_tr_1741260208|1-facs_274_tr_1741260201|1-facs_124_tr_1740520978|2-facs_50_tr_1744131406|2-facs_222_tr_1744280833|2-facs_398_tr_1744366863|3-facs_29_tr_1752653003|3-facs_314_tr_1756043856|5-facs_191_tr_1736588979	burial|death|birth	Q649	match_status:WIKIDATA
7869	Santiago (Chile)	סאַנטיאגאָ	Zylbercweig lexicon (Maaty reconciliation)	3-facs_128_tr_1754820296|3-facs_128_tr_1754820296	burial|death	Q2887	match_status:WIKIDATA
282	Chicago (Ill.)	שיקאַגאָ	Zylbercweig lexicon (Maaty reconciliation)	3-facs_278_tr_1755674209|4-facs_39_tr_1752612112|4-facs_248_tr_1754998565|4-facs_276_tr_1754998430|4-facs_330_tr_1754998389|4-facs_385_tr_1755029934|1-facs_78_tr_1740521038|3-facs_32_r_2|3-facs_37_tr_1752653025|4-facs_64_r_1|4-facs_79_tr_1753938273|4-facs_409_r_1	burial|death|birth	Q1297	match_status:WIKIDATA
523	Białystok (Poland)	ביאַליסטאָק	Zylbercweig lexicon (Maaty reconciliation)	5-facs_97_tr_1733059490|5-facs_136_tr_1733832804|1-facs_142_tr_1740521055|5-facs_97_tr_1733059490|5-facs_136_tr_1733832804|5-facs_174_tr_1736589029|5-facs_215_tr_1739221501|4-facs_59_tr_1753681938|4-facs_320_r_8|4-facs_593_tr_1755030177|1-facs_259_tr_1741260211|1-facs_284_tr_1741260301|1-facs_286_TextRegion_1711970312420_135|1-facs_295_tr_1741260503|1-facs_376_tr_1741260453|1-facs_383_tr_1739715269|1-facs_404_tr_1739715089|1-facs_22_tr_1740515224|1-facs_95_tr_1740521141|1-facs_99_tr_1740520997|1-facs_150_tr_1740521115|2-facs_161_tr_1744279088|2-facs_219_tr_1744280729|2-facs_270_tr_1744280697|2-facs_318_tr_1744365808|2-facs_326_tr_1744365739|2-facs_362_tr_1744366876|3-facs_18_tr_1752653039|3-facs_127_tr_1754820296|3-facs_272_tr_1755674155|3-facs_337_tr_1756106065|3-facs_397_tr_1755856120|5-facs_174_tr_1736589029|5-facs_563_tr_1739221890|6-facs_459_tr_1747930174	burial|death|birth	Q761	match_status:WIKIDATA
102	Slonim (Belarus)	סלאָנים	Zylbercweig lexicon (Maaty reconciliation)	5-facs_438_tr_1739221803|5-facs_196_tr_1736589003|5-facs_281_r_1|5-facs_354_tr_1739222163|5-facs_356_tr_1739222166|5-facs_438_tr_1739221803|5-facs_587_tr_1739221100	burial|death	Q863576	match_status:WIKIDATA
656	Bucharest (Romania)	בוקאַרעשט	Zylbercweig lexicon (Maaty reconciliation)	6-facs_162_tr_1747825129|6-facs_162_tr_1747825129|6-facs_183_tr_1747825124|5-facs_280_r|6-facs_160_tr_1747825040|6-facs_405_tr_1747930577	burial|death|birth	Q19660	match_status:WIKIDATA
